test,train,type,bam,n,m
218.446668822,224.012265317,equal,1,4,400
210.559025832,265.341291725,fmn,1,4,400
175.743190333,145.918598762,equal,1,4,400
181.02675364,158.771884805,fmn,1,4,400
160.538617411,132.371142794,equal,1,4,400
163.137884983,145.754593066,fmn,1,4,400
160.538617411,132.371142794,equal,1,4,400
163.137884983,145.754593066,fmn,1,4,400
177.596866967,190.893182049,equal,1,4,400
173.673052661,198.876142572,fmn,1,4,400
177.596866967,190.893182049,equal,1,4,400
173.673052661,198.876142572,fmn,1,4,400
133.16802311,132.863851183,equal,1,4,400
136.54314447,125.56588816,fmn,1,4,400
217.31848726,187.3924471,equal,1,4,400
225.948228424,198.20733674,fmn,1,4,400
150.260624934,130.576065218,equal,1,4,400
158.464583142,117.710581987,fmn,1,4,400
150.260624934,130.576065218,equal,1,4,400
158.464583142,117.710581987,fmn,1,4,400
138.228708812,116.348426642,equal,1,4,400
135.11700067,94.5143390493,fmn,1,4,400
138.228708812,116.348426642,equal,1,4,400
135.11700067,94.5143390493,fmn,1,4,400
116.322546291,103.679504053,equal,1,4,400
116.994542381,99.9942692214,fmn,1,4,400
141.570162562,118.348444149,equal,1,4,400
140.800042568,128.727949552,fmn,1,4,400
150.671568714,110.816701576,equal,1,4,400
151.176159479,111.604824676,fmn,1,4,400
191.622510877,175.745603078,equal,1,4,400
186.243289784,172.890798164,fmn,1,4,400
190.639770216,149.685799683,equal,1,4,400
188.647899926,142.507054693,fmn,1,4,400
156.50799685,187.865649265,equal,1,4,400
156.018246045,151.332791682,fmn,1,4,400
255.866418779,316.280560907,equal,1,4,400
262.95010157,286.396763523,fmn,1,4,400
167.514527728,145.123416979,equal,1,4,400
165.259255461,119.115260973,fmn,1,4,400
146.75955266,142.158850003,equal,1,4,400
157.172403367,159.331281413,fmn,1,4,400
146.75955266,142.158850003,equal,1,4,400
157.172403367,159.331281413,fmn,1,4,400
161.877395224,149.030658601,equal,1,4,400
180.987397886,172.491092884,fmn,1,4,400
161.877395224,149.030658601,equal,1,4,400
180.987397886,172.491092884,fmn,1,4,400
126.265252688,136.653504438,equal,1,4,400
131.656404843,131.034624869,fmn,1,4,400
141.441661084,125.193606912,equal,1,4,400
148.500943558,113.942373351,fmn,1,4,400
144.677564933,118.441155173,equal,1,4,400
145.22175726,127.636509057,fmn,1,4,400
144.677564933,118.441155173,equal,1,4,400
145.22175726,127.636509057,fmn,1,4,400
222.054002312,175.066492003,equal,1,4,400
220.331371309,200.604415262,fmn,1,4,400
222.054002312,175.066492003,equal,1,4,400
220.331371309,200.604415262,fmn,1,4,400
155.919409985,193.099794152,equal,1,4,400
157.269993023,154.250133241,fmn,1,4,400
131.59175155,137.50234937,equal,1,4,400
135.095402831,140.411387362,fmn,1,4,400
193.717446125,160.910866389,equal,1,4,400
194.069997779,131.779926384,fmn,1,4,400
193.717446125,160.910866389,equal,1,4,400
194.069997779,131.779926384,fmn,1,4,400
156.107981159,110.752272555,equal,1,4,400
151.03961798,83.0064113056,fmn,1,4,400
156.107981159,110.752272555,equal,1,4,400
151.03961798,83.0064113056,fmn,1,4,400
113.302648256,125.074186315,equal,1,4,400
116.16063539,115.098475535,fmn,1,4,400
113.302648256,125.074186315,equal,1,4,400
116.16063539,115.098475535,fmn,1,4,400
154.595153026,130.291724436,equal,1,4,400
162.593307007,143.765519355,fmn,1,4,400
154.595153026,130.291724436,equal,1,4,400
162.593307007,143.765519355,fmn,1,4,400
189.868776496,164.394886306,equal,1,4,400
205.441770305,168.470428359,fmn,1,4,400
