测试误差,训练误差,类型,b_m,d,n
0.525172798216,0.505050505051,分数匹配加权,2,2,200
0.480289855072,0.540404040404,平均加权,2,2,200
0.519710144928,0.459595959596,分数匹配加权,2,2,200
0.551237458194,0.532828282828,平均加权,2,2,200
0.526421404682,0.502525252525,分数匹配加权,2,2,200
0.725975473802,0.727272727273,平均加权,2,2,200
0.725930880713,0.729797979798,分数匹配加权,2,2,200
0.65652173913,0.674242424242,平均加权,2,2,200
0.645418060201,0.626262626263,分数匹配加权,2,2,200
0.541672240803,0.540404040404,平均加权,2,2,200
0.51005574136,0.512626262626,分数匹配加权,2,2,200
0.627558528428,0.593434343434,平均加权,2,2,200
0.62900780379,0.585858585859,分数匹配加权,2,2,200
0.633913043478,0.722222222222,平均加权,2,2,200
0.633288740245,0.714646464646,分数匹配加权,2,2,200
0.634403567447,0.618686868687,平均加权,2,2,200
0.635540691193,0.565656565657,分数匹配加权,2,2,200
0.655518394649,0.651515151515,平均加权,2,2,200
0.655674470457,0.65404040404,分数匹配加权,2,2,200
0.654091415831,0.664141414141,平均加权,2,2,200
0.662118171683,0.671717171717,分数匹配加权,2,2,200
0.669676700111,0.638888888889,平均加权,2,2,200
0.661649944259,0.631313131313,分数匹配加权,2,2,200
0.575340022297,0.585858585859,平均加权,2,2,200
0.487982162765,0.489898989899,分数匹配加权,2,2,200
0.722497212932,0.739898989899,平均加权,2,2,200
0.725105908584,0.744949494949,分数匹配加权,2,2,200
0.702831661093,0.75,平均加权,2,2,200
0.695094760312,0.75,分数匹配加权,2,2,200
0.689253065775,0.699494949495,平均加权,2,2,200
0.675919732441,0.679292929293,分数匹配加权,2,2,200
0.548940914158,0.60101010101,平均加权,2,2,200
0.543232998885,0.474747474747,分数匹配加权,2,2,200
0.590657748049,0.656565656566,平均加权,2,2,200
0.591705685619,0.656565656566,分数匹配加权,2,2,200
0.576588628763,0.628787878788,平均加权,2,2,200
0.607224080268,0.636363636364,分数匹配加权,2,2,200
0.617658862876,0.64898989899,平均加权,2,2,200
0.59099219621,0.623737373737,分数匹配加权,2,2,200
0.605685618729,0.65404040404,平均加权,2,2,200
0.619085841695,0.641414141414,分数匹配加权,2,2,200
0.713177257525,0.724747474747,平均加权,2,2,200
0.710078037904,0.729797979798,分数匹配加权,2,2,200
0.702341137124,0.719696969697,平均加权,2,2,200
0.697302118172,0.719696969697,分数匹配加权,2,2,200
0.686109253066,0.618686868687,平均加权,2,2,200
0.643255295429,0.568181818182,分数匹配加权,2,2,200
0.674425863991,0.722222222222,平均加权,2,2,200
0.678528428094,0.719696969697,分数匹配加权,2,2,200
0.677146042363,0.707070707071,平均加权,2,2,200
0.68276477146,0.704545454545,分数匹配加权,2,2,200
0.610412486065,0.60101010101,平均加权,2,2,200
0.612419175028,0.618686868687,分数匹配加权,2,2,200
0.645596432553,0.717171717172,平均加权,2,2,200
0.645975473802,0.69696969697,分数匹配加权,2,2,200
0.591125975474,0.628787878788,平均加权,2,2,200
0.591482720178,0.613636363636,分数匹配加权,2,2,200
0.70392419175,0.790404040404,平均加权,2,2,200
0.703166109253,0.79797979798,分数匹配加权,2,2,200
0.626889632107,0.618686868687,平均加权,2,2,200
0.627937569677,0.598484848485,分数匹配加权,2,2,200
0.701025641026,0.775252525253,平均加权,2,2,200
0.700602006689,0.765151515152,分数匹配加权,2,2,200
0.680401337793,0.674242424242,平均加权,2,2,200
0.685997770346,0.651515151515,分数匹配加权,2,2,200
0.671973244147,0.691919191919,平均加权,2,2,200
0.656566332219,0.691919191919,分数匹配加权,2,2,200
0.685663322185,0.689393939394,平均加权,2,2,200
0.685328874025,0.689393939394,分数匹配加权,2,2,200
0.684615384615,0.75,平均加权,2,2,200
0.672842809365,0.757575757576,分数匹配加权,2,2,200
0.655473801561,0.628787878788,平均加权,2,2,200
0.623433667781,0.643939393939,分数匹配加权,2,2,200
0.602608695652,0.676767676768,平均加权,2,2,200
0.620423634337,0.674242424242,分数匹配加权,2,2,200
0.618372352285,0.560606060606,平均加权,2,2,200
0.588227424749,0.565656565657,分数匹配加权,2,2,200
0.682095875139,0.664141414141,平均加权,2,2,200
0.699375696767,0.671717171717,分数匹配加权,2,2,200
0.644191750279,0.623737373737,平均加权,2,2,200
0.62231884058,0.593434343434,分数匹配加权,2,2,200
0.652865105909,0.656565656566,平均加权,2,2,200
0.651638795987,0.631313131313,分数匹配加权,2,2,200
0.507268673356,0.545454545455,平均加权,2,2,200
0.507268673356,0.545454545455,分数匹配加权,2,2,200
0.584214046823,0.621212121212,平均加权,2,2,200
0.538149386845,0.621212121212,分数匹配加权,2,2,200
0.540379041249,0.636363636364,平均加权,2,2,200
0.536031215162,0.550505050505,分数匹配加权,2,2,200
0.641426978818,0.676767676768,平均加权,2,2,200
0.630635451505,0.661616161616,分数匹配加权,2,2,200
0.714938684504,0.757575757576,平均加权,2,2,200
0.712820512821,0.755050505051,分数匹配加权,2,2,200
0.665641025641,0.659090909091,平均加权,2,2,200
0.645908584169,0.613636363636,分数匹配加权,2,2,200
0.631415830546,0.612416107383,平均加权,2,2,300
0.640602006689,0.629194630872,分数匹配加权,2,2,300
0.642586399108,0.708053691275,平均加权,2,2,300
0.638885172798,0.689597315436,分数匹配加权,2,2,300
0.641672240803,0.622483221477,平均加权,2,2,300
0.639843924192,0.620805369128,分数匹配加权,2,2,300
0.635161649944,0.692953020134,平均加权,2,2,300
0.648338907469,0.667785234899,分数匹配加权,2,2,300
0.618885172798,0.677852348993,平均加权,2,2,300
